text,label
昇進が決まり、これまでの努力がついに報われて感無量だ。,0
ずっと欲しかった限定品を偶然手に入れ、最高の気分だ。,0
チーム一丸となって目標を達成し、喜びを分かち合った。,0
久しぶりに会った友人と話が弾み、笑いすぎてお腹が痛い。,0
顧客から感謝のメールが届き、仕事の疲れが一気に吹き飛んだ。,0
天気が良いので公園を散歩していたら、とても清々しい気分だ。,0
サプライズで祝ってもらい、こんなに幸せな誕生日は初めてだ。,0
難航していた契約が無事にまとまり、心の底からホッとした。,0
愛犬が駆け寄ってくる姿を見るだけで、一日の疲れが癒やされる。,0
探していた本が古本屋で見つかり、思わずガッツポーズをした。,0
臨時収入が入ったので、奮発して美味しい寿司を食べに来た。,0
気になっていた映画が期待以上の面白さで、興奮が冷めない。,0
苦手だった業務を克服し、上司に褒められて自信がついた。,0
週末の温泉旅行の予約が取れて、今から楽しみで仕方がない。,0
無くしたと思っていた指輪がバッグの底から出てきて安心した。,0
丹精込めて育てた花がついに咲き、朝から幸せな気持ちだ。,0
テストで満点を取ることができ、勉強の成果が出て嬉しい。,0
家族みんなで食卓を囲み、他愛のない話をする時間が尊い。,0
新しい髪型が周囲に好評で、なんだかウキウキしてしまう。,0
長年のライバルに勝利し、勝利の美酒に酔いしれている。,0
美味しいコーヒーを淹れられたので、朝から優雅な気分だ。,0
憧れの先輩からランチに誘われて、ドキドキしながら喜んでいる。,0
ネットで注文した服のサイズがぴったりで、とても満足している。,0
故障していたパソコンが直り、データの復旧もできて助かった。,0
子供が初めて歩いた瞬間を目撃し、感動で涙が出そうだ。,0
何度注意しても同じミスを繰り返され、いい加減うんざりだ。,1
約束の時間を過ぎても連絡ひとつなく、誠意が感じられない。,1
理不尽なクレームを延々と言われ、怒りを抑えるのに必死だ。,1
大切なデータを勝手に消されてしまい、頭の中が真っ白だ。,1
陰でコソコソと悪口を言われていると知り、腹ワタが煮えくり返る。,1
行列に横入りされた上、開き直った態度をとられて許せない。,1
自分のミスを他人のせいにする卑怯なやり方に、心底呆れた。,1
緊急の用事なのに既読無視が続き、イライラが募っている。,1
貸した本がボロボロになって返ってきて、信じられない気持ちだ。,1
歩きタバコの煙が顔にかかり、マナーの悪さに殺意すら覚えた。,1
満員電車で足を踏まれたのに、謝りもせず睨まれて不快だ。,1
部下が嘘の報告をしていたことが発覚し、信頼が崩れ去った。,1
楽しみにしていたプリンを勝手に食べられ、喧嘩になった。,1
店員の態度があまりにも横柄で、二度と来ないと心に誓った。,1
上司の指示が朝令暮改で振り回され、現場は混乱し憤っている。,1
騒音トラブルで何度お願いしても改善されず、我慢の限界だ。,1
予約していた店が勝手にキャンセルされており、猛抗議した。,1
大事な会議中に居眠りをしている同僚を見て、呆れて物が言えない。,1
濡れ衣を着せられそうになり、必死で反論したが腹が立つ。,1
ルールを守って並んでいる人を馬鹿にするような発言を聞いた。,1
注文と違う料理が来た上に、謝罪もなく置かれて腹立たしい。,1
高圧的な物言いで命令され、反発心しか湧いてこない。,1
共有スペースを汚したまま放置されており、掃除する身にもなれ。,1
相談もなく勝手に仕様変更され、手戻りが発生して激怒した。,1
可愛がっていたペットが亡くなり、心にぽっかり穴が空いたようだ。,2
一生懸命準備した企画がボツになり、自信を完全に失った。,2
楽しみにしていた旅行が台風で中止になり、ショックで動けない。,2
親友が遠くに引っ越してしまうことになり、寂しくてたまらない。,2
信じていた人に嘘をつかれていたと知り、深く傷ついている。,2
大切な記念日を忘れられてしまい、虚しさと悲しみが込み上げる。,2
不景気でボーナスがカットされ、将来の生活が不安で仕方ない。,2
ずっと片思いしていた相手に恋人ができて、胸が締め付けられる。,2
思い出の詰まった古い校舎が取り壊され、景色が変わって寂しい。,2
最終面接で落とされてしまい、自分の全人格を否定された気分だ。,2
大切にしていたマグカップを割ってしまい、形あるものは壊れると悟る。,2
チームの敗北が自分のミスのせいだと感じ、申し訳なくて泣きたい。,2
楽しかった祭りの後の静けさが、今の孤独をより一層強調する。,2
長年通っていた店が閉店することになり、時代の流れを感じて切ない。,2
期待していた返事が来ず、自分は必要とされていないのだと感じる。,2
友人のSNSを見て、自分だけが取り残されているような焦燥感がある。,2
怪我でスポーツを諦めることになり、夢が絶たれて絶望している。,2
読んでいた小説の結末があまりに救いがなく、一日中引きずっている。,2
誰にも悩みを相談できず、夜になると一人で枕を濡らしている。,2
育てていた植物が枯れてしまい、自分の管理不足を責めている。,2
期待外れの結果に終わり、応援してくれた人たちの顔が見られない。,2
財布を落とし、中に入っていたお守りまで失くして意気消沈だ。,2
風邪を引いて心細い夜に、誰も看病してくれる人がいなくて孤独だ。,2
昔の写真を見返して、もう戻れない日々の眩しさに胸が痛む。,2
宝くじが当たっているのを見て、心臓が止まるかと思った。,3
大人しい彼が会議で突然怒鳴り出し、その場が静まり返った。,3
晴れ予報だったのに突然の土砂降りで、びしょ濡れになり驚いた。,3
死んだと思っていた知人と街ですれ違い、我が目を疑った。,3
新人が出したアイデアが画期的すぎて、ベテラン勢も言葉を失った。,3
何気なく入った店が、実は予約困難な有名店でびっくりした。,3
絶対に解けない難問をＡＩが一瞬で解き、鳥肌が立った。,3
落とした財布が中身そのままで戻ってきて、奇跡に驚愕している。,3
地味な上司が休日に派手な服装で歩いていて、二度見してしまった。,3
故障だと思ったＴＶが、ただコンセントが抜けていただけだった。,3
注文していない豪華な料理が届き、手違いだとわかって焦った。,3
誰もいないはずの部屋から物音が聞こえ、背筋が凍る思いをした。,3
数年ぶりに開けた箱から、探していた重要書類が出てきて驚いた。,3
愛猫が人間の言葉のような声で鳴き、家族全員で顔を見合わせた。,3
全く勉強していなかったのに、まさかの満点を取ってしまった。,3
普段は厳しい父が、孫の前ではデレデレになっていて衝撃だ。,3
予定より1時間も早く到着してしまい、誰もいないオフィスに驚く。,3
ずっと探していた人が、まさか隣の席に座ることになるとは。,3
スマホの画面を見たら、ありえない金額が振り込まれていて震えた。,3
静かな図書館で突然大きな警報音が鳴り響き、心臓が跳ねた。,3
絶対に間に合わないと思った電車に、奇跡的に乗れてしまった。,3
小柄な彼女が大食いチャレンジを完食し、店中がどよめいた。,3
壊れたと思っていた時計が、振っただけで動き出して驚いている。,3
有名人がお忍びで隣の席で食事をしており、緊張で味がしない。,3
真夏なのに雪が降り始め、異常気象に恐怖すら感じてしまった。,3
気難しいクライアントから承認印をもらい、肩の荷が下りた。,0
ダイエットの成果が出て、去年のズボンが緩くなり感激している。,0
夜空を見上げたら流れ星が見えて、なんだか良いことがありそうだ。,0
