text,label
i didnt feel humiliated . i felt humiliat,0
i can go from feeling so hopeless to so damned,0
im grabbing a minute to post i feel greedy wrong,3
i am ever feeling nostalgic about the fireplace i will know that,2
i am feeling grouchy . i feel ,3
ive been feeling a little burdened lately wasnt sure,0
ive been taking or milligrams or times recommended amount and,5
i feel as confused about life as a teenager or as ,4
petronas has performed well and made a huge profit ,1
i feel romantic too . i felt romantic too.,2
i feel like i have to make the suffering i ,0
running is a divine experience and i can expect to have some,1
i think it s the easiest time of year to feel dis,3
i feel low energy i m just thirsty i,0
i have immense sympathy with the general point but as a possible,1
i do not feel reassured anxiety is on each side ,1
i didnt really feel that embarrassed that embarrassed me .,0
i feel pretty pathetic most of the time .,0
i started feeling sentimental about dolls i had as ,0
i now feel compromised and skeptical of the value of every unit of,4
i feel irritated and rejected without anyone doing anything or,3
i am feeling completely overwhelmed i have two strategies that help me,4
i have the feeling she was amused and delighted and delighted ,1
chai lifeline was able to help with your support and,1
i dont usually eat at all in the morning because i,3
i can no longer tolerate the effect that bm has on,0
i feel so inhibited in someone elses kitchen like im,0
i become overwhelmed and feel defeated and overwhelmed .,0
i feel kinda appalled that she feels like she needs,3
i feel more superior dead chicken or grieving child .,1
i get giddy over feeling elegant in a perfectly,1
i remember feeling acutely distressed for a few days .,4
i am left feeling impressed by more than a few companies over,5
a factor that has never ever hampered me had made such,3
i can t imagine a real life scenario where i,1
i am not sure what would make me feel content if anything,1
i have been feeling the need to be creative .,1
i do however want you to know that if something someone is,1
i feel a bit rude writing to an elderly gentleman to ask,3
i am small now i find myself in a season of,1
i plan to share my everyday life stories traveling adventures inspirations and,1
i already have my christmas trees up i got two and am,1
ive worn it once on its own with a little concealer,1
some jerk off decides to poke and make fun of us,1
i was feeling so discouraged we are already robbing,0
i was feeling listless from the need of new things something different,0
i lost my special mind but don t worry i ,1
i can t let go of that sad feeling that i,2
boat trip to denmark on a boat trip .,1
i stopped feeling cold and began feeling hot . started feeling hot,3
i need to feel the dough to make sure its just perfect ,1
i found myself feeling a little discouraged that morning .,0
i feel selfish and spoiled .,3
i was stymied a little bit as,4
kayle who s your daddy gerling awake the,1
i feel you know basically like a fake in the realm of,0
i hate living under my dads roof because it gives him an,0
i keep feeling pleasantly surprised at his supportiveness and ease in,5
i misspelt that as cumming days parts of me,1
i feel my mom s graceful warm loving smile as i,1
i feel in they talk the brother in law is extremely popular the,1
i ate i could feel a gentle tingle,2
we are pressured into being young beautiful thin and depending on the trend,4
hallucinations moving people and figures sounds and vibrations .,4
i am now nearly finished the week detox and i feel amazing,5
i feel selfish as i read back to my former posts how,3
i know the pain parents feel when an enraged child,3
i have been on a roller coaster of emotions over these,0
i suppose my own truth needs to be shared i haven,2
i was feeling brave when i bought it and clearly when ,1
c i am also the proudest mum on earth on earth,0
michelle go ballistic when she says her family loves us no matter,0
i feel reassured when i see them in print journals,1
i can feel my ovaries aching talking to me as,0
i didn t feel like doing much chris and,0
im tired of the book and ready to have it out of here and,0
