text,label
頬が緩んでニヤけが止まらない。,0
足取りが羽が生えたように軽い。,0
今日は空気がいつもより美味しい。,0
良いことがありそうで胸が躍る。,0
風呂上がりのビールが五臓六腑に染みる。,0
ガッツポーズを隠すのに必死だ。,0
世界がキラキラ輝いて見えるようだ。,0
ずっとこの時間が続けばいいのに。,0
苦労が報われて肩の荷が下りた。,0
口角が勝手に上がってしまう。,0
推しの供給過多で尊さが限界だ。,0
欲しかった物が手に入り震えている。,0
ご飯が美味しくて箸が止まらない。,0
最高の展開に拍手が鳴り止まない。,0
今日は何でも許せる気分だ。,0
体がふわふわ浮いている感覚だ。,0
待ちに待った瞬間がついに来た。,0
努力が実り景色が違って見える。,0
誰かに優しくしたくてたまらない。,0
お釣りが多くて小さな幸せを感じる。,0
週末の予定を考えると仕事が捗る。,0
髪型が決まって鏡を見るのが楽しい。,0
久しぶりにぐっすり眠れて爽快だ。,0
臨時収入があり財布の紐が緩む。,0
猫が膝に乗ってきて動けない幸せ。,0
はらわたが煮えくり返りそうだ。,1
頭に血が上って視界が赤い。,1
握りしめた拳が震えて止まらない。,1
その言葉は聞き捨てならない。,1
堪忍袋の緒がプッツリ切れた。,1
ふざけた態度に殺意すら覚える。,1
言葉が出ないほど呆れ果てている。,1
神経を逆撫でされて不快極まりない。,1
顔も見たくないし声も聞きたくない。,1
理不尽すぎて壁を殴りたくなる。,1
誠意のかけらも感じられず不愉快だ。,1
胃のあたりがムカムカしてくる。,1
絶対に許さないと心に誓った。,1
積み上げた物を蹴り倒された気分だ。,1
舐められた態度に怒りが湧く。,1
約束を破られて信用が地に落ちた。,1
デリカシーのなさに開いた口が塞がらない。,1
自分だけ損をして納得がいかない。,1
説明を求めても無視され腹が立つ。,1
土足で心に踏み込まれた感覚だ。,1
舌打ちしたくなるのを必死に堪える。,1
大事な時間を返してほしい。,1
無神経な発言に空気が凍りついた。,1
何度言えば分かるのか学習してほしい。,1
この屈辱は絶対に忘れないだろう。,1
胸に鉛が入ったように重苦しい。,2
ため息ばかり出て空気が薄い。,2
食事が砂を噛むような味がする。,2
景色がモノクロに見えて色がない。,2
深い海の底に沈んでいく感覚だ。,2
喉の奥が詰まって声が出ない。,2
涙が枯れるまで泣き続けたい。,2
誰とも会いたくなくて部屋に籠もる。,2
心にぽっかり穴が空いて風が吹く。,2
明けない夜の中を彷徨っている。,2
大切な物が壊れて元に戻らない。,2
努力が無駄になり立ち上がれない。,2
誰も私を必要としていない気がする。,2
思い出が色褪せていくのが怖い。,2
楽しかった日々が嘘のように遠い。,2
雨音が私の心を表しているようだ。,2
糸が切れた操り人形のように動けない。,2
期待外れの結果に肩を落とした。,2
信じていたのに裏切られて辛い。,2
自分の無力さを痛感して凹む。,2
行き場のない想いを抱えて眠る。,2
祭りの後のような静けさが寂しい。,2
何も手につかず天井を見つめる。,2
出口のない迷路に迷い込んだようだ。,2
心臓が止まるかと思うほど驚いた。,3
狐につままれたような気分だ。,3
目を疑って何度も擦ってしまった。,3
開いた口が塞がらないとはこのこと。,3
予想外の展開に思考が停止した。,3
鳩が豆鉄砲を食らった顔になった。,3
背筋が凍るような衝撃を受けた。,3
青天の霹靂で言葉を失った。,3
まさかこんな結末になるとは。,3
あり得ない偶然に鳥肌が立った。,3
二度見しても現実とは思えない。,3
寝耳に水の話で反応に困る。,3
時間が止まったかのように固まった。,3
心臓が早鐘を打ってうるさい。,3
夢を見ているのかと頬をつねった。,3
足元が崩れ落ちるような感覚だ。,3
全く身に覚えがなく困惑している。,3
双子でもないのにそっくりで引く。,3
急に電気が消えてパニックだ。,3
知らない間に解決していてビビる。,3
猫が喋った気がして耳を疑う。,3
当たりすぎて怖いくらいだ。,3
予期せぬ来客に慌てふためく。,3
画面から貞子が出てきそうで叫んだ。,3
勝利の美酒に酔いしれている。,0
待ち人来たりて春が来た心地だ。,0
探していた欠片がハマり快感だ。,0
湯船に浸かり命の洗濯ができた。,0
明日から連休で心が小躍りする。,0
猫の寝顔を見て目尻が下がる。,0
肉汁が口いっぱいに広がり至福。,0
朗報が届きガッツポーズが出た。,0
懐かしい香りに記憶が蘇り和む。,0
新しい服に袖を通し胸が弾む。,0
努力が実を結び景色が輝く。,0
昇給の知らせにニヤけ顔だ。,0
サプライズに涙が出るほど感激。,0
雨上がりの虹を見て得した気分。,0
難問が解けて脳汁が出そうだ。,0
推しの尊さに語彙力が消滅した。,0
臨時ボーナスで何を買おうか。,0
布団の温もりが幸せすぎて罪だ。,0
素敵な偶然に運命を感じている。,0
褒められて伸びるタイプだと痛感。,0
会いたかった人に会え夢心地だ。,0
完璧な計画通りに進み爽快だ。,0
桜が咲き誇り心が洗われる。,0
美味しい珈琲で朝から優雅だ。,0
君の笑顔が最高の特効薬だ。,0
待たされすぎて血管が切れそうだ。,1
その態度は目に余るものがある。,1
恩を仇で返され言葉も出ない。,1
嘲笑うような視線に殺気立つ。,1
仏の顔も三度までだと知れ。,1
保存前に落ちて画面を殴りたい。,1
身勝手な言い分に耳を疑う。,1
責任転嫁されて腸が煮え繰り返る。,1
盗人猛々しいとはこのことだ。,1
無駄足を踏まされ徒労感が凄い。,1
騒音で眠れず殺意が湧いてくる。,1
舌の根も乾かぬうちに嘘をつく。,1
逆撫でするような物言いが嫌だ。,1
地団駄を踏みたくなる理不尽さ。,1
冷たい対応に怒りが込み上げる。,1
並んだのに品切れで暴れたい。,1
心無い言葉の礫に傷ついた。,1
約束を反故にされ信用できない。,1
他人の手柄を横取りし恥ずかしくないか。,1
陰口を聞いてしまって気分最悪だ。,1
大事な物を捨てられ許せない。,1
開き直った態度に呆れ果てた。,1
連絡もなく遅刻し反省もない。,1
マナーの悪さに辟易している。,1
この恨みは墓場まで持っていく。,1
枕を濡らして朝を待っている。,2
心臓を冷たい手で掴まれたようだ。,2
砂の城のように夢が崩れ去った。,2
誰の声も届かない場所にいる。,2
置き去りにされた迷子の気分だ。,2
ガラス細工のように心が砕けた。,2
雨が涙を隠してくれて助かる。,2
遠くへ行く背中を見送るだけだ。,2
届かぬ想いを抱え胸が痛む。,2
自分には才能がないと悟った。,2
蚊帳の外に置かれ疎外感がある。,2
色彩を失った世界で息をする。,2
楽しかった宴の後が一番寂しい。,2
古傷が痛み出し眠れない夜だ。,2
大切な写真を失くし茫然自失。,2
期待した分だけ落差で凹む。,2
誰も私の名前を呼んでくれない。,2
青春が終わった音が聞こえた。,2
透明人間になったような孤独だ。,2
後悔の念が押し寄せ息苦しい。,2
最後の望みが絶たれ絶望した。,2
虚しさが波のように押し寄せる。,2
季節外れの雪が心に降り積もる。,2
咲かずに散った花を想い憂う。,2
もう二度と戻れない日々なんだ。,2
予想外の展開に目が点になる。,3
タネが分からず目を白黒させる。,3
晴れなのに雨が降り狐の嫁入りだ。,3
記憶にない傷があり首を傾げる。,3
想定外の来客に心臓が跳ねた。,3
死んだはずの人が目の前にいる。,3
鏡を見たら別人がいて叫んだ。,3
宝くじが当たり手が震える。,3
電柱が歩き出した幻覚を見た。,3
辛くないカレーが激辛で吹いた。,3
犬が猫の鳴き真似をし仰天。,3
空から魚が降ってきて混乱中。,3
時計の針が逆回転し戦慄した。,3
ポケットから大金が出てきて謎。,3
静寂を破る破裂音に飛び上がる。,3
幼馴染が社長になり腰を抜かす。,3
宇宙人を目撃し思考停止した。,3
双子の卵を見て小さな奇跡だ。,3
停電で誕生日ケーキが登場した。,3
こんな偶然があるのかと引く。,3
AIが感情を持ち始めて怖い。,3
無人のピアノが鳴り出し悲鳴。,3
食べたことない味に衝撃走る。,3
地図にない道に迷い込み焦る。,3
スマホが勝手に話し出しビビる。,3
追い風が吹いてきて絶好調だ。,0
鼻歌交じりで作業が進む。,0
口笛を吹きたくなる青空だ。,0
美味しい料理に頬が落ちそうだ。,0
勝利の女神が私に微笑んだ。,0
期待以上の成果に胸を張る。,0
心地よい疲れでぐっすり眠れそう。,0
花が咲いたように場が和んだ。,0
天にも昇るような心地だ。,0
砂漠でオアシスを見つけた気分。,0
以心伝心で通じ合い嬉しい。,0
長年の夢が叶い感無量だ。,0
お気に入りの曲で足取りが軽い。,0
臨時収入で懐が温かい。,0
最高の仲間と乾杯し酔いしれる。,0
暗闇に光が差して希望が見えた。,0
至れり尽くせりの待遇に満足。,0
とんとん拍子に話が進み驚く。,0
心に翼が生えたように身軽だ。,0
朝飯前で片付けて気分爽快。,0
愛猫の喉鳴らしに癒やされる。,0
一目惚れした服を買えて上機嫌。,0
くじが当たり今日はツイている。,0
温泉で手足を伸ばし極楽だ。,0
君の言葉が最高の褒め言葉だ。,0
腹の虫が治まらずイラつく。,1
煮え湯を飲まされた気分だ。,1
仏の顔も三度までだぞ。,1
厚顔無恥な態度に反吐が出る。,1
恩を仇で返すとは何事か。,1
堪忍袋の緒が焼き切れた。,1
怒髪天を衝く勢いで怒鳴った。,1
火に油を注ぐ発言で揉めた。,1
暖簾に腕押しで話が通じない。,1
馬の耳に念仏で徒労感が凄い。,1
逆鱗に触れてしまい空気が凍る。,1
面の皮が厚すぎて呆れ返る。,1
人の褌で相撲を取るな。,1
足元を見られて不愉快極まりない。,1
寝た子を起こすような真似をするな。,1
理不尽な要求に拳を震わせる。,1
血管が切れそうなほど頭に来た。,1
泥を塗られた屈辱は忘れない。,1
目に余る暴挙に言葉を失う。,1
どの口がそれを言うのか。,1
無神経な一言が胸に突き刺さる。,1
約束を反故にされ信用ゼロだ。,1
横柄な態度に殺意が芽生える。,1
自分勝手すぎて開いた口が塞がらぬ。,1
我慢の限界を超えて爆発した。,1
胸に冷たい隙間風が吹いている。,2
覆水盆に返らずと知り絶望。,2
後の祭りだと知り肩を落とす。,2
暗いトンネルに出口が見えない。,2
鉛を飲み込んだように胃が重い。,2
涙で枕を濡らして朝を迎えた。,2
心に穴が空き風が通り抜ける。,2
立つ鳥跡を濁さず去るのが辛い。,2
飼い犬に手を噛まれて悲しい。,2
四面楚歌で味方がおらず孤独だ。,2
枯れ木のように心が乾いている。,2
深い溜息で床が抜けそうだ。,2
思い出が走馬灯のように巡る。,2
期待外れで力が抜けていく。,2
砂を噛むような味気ない日々。,2
雨音だけが友達の静かな夜。,2
大切な半身を失った喪失感。,2
努力が水泡に帰して泣き崩れた。,2
誰にも必要とされず虚しい。,2
光を失った瞳で天井を見る。,2
独りぼっちの夜は冷え込む。,2
後悔先に立たずと痛感した。,2
夢破れて故郷の山河を見る。,2
ガラスの心が粉々に砕けた。,2
沈む船から海を眺める気分だ。,2
鳩が豆鉄砲を食らった顔だ。,3
藪から棒な話で耳を疑う。,3
寝耳に水で思考が停止した。,3
青天の霹靂とはこのことか。,3
狐につままれたような話だ。,3
目から鱗が落ちて感動した。,3
瓢箪から駒が出て腰を抜かす。,3
二階から目薬のような偶然。,3
開いた口が塞がらない衝撃。,3
心臓が口から飛び出しそうだ。,3
雷に打たれたようなショック。,3
幽霊を見たかのように震える。,3
目を白黒させて動揺している。,3
空いた口が塞がらない珍事。,3
足元が崩れ落ちる感覚だ。,3
あり得ない光景に我が目を疑う。,3
時が止まったかのように固まる。,3
心臓バクバクで冷や汗が出る。,3
