text,label
顧客から高い評価をもらえて誇らしい気持ちです！,0
上司が急に出張を取りやめて驚きました。,3
納得できない決定に苛立ちを感じます！,1
会議中に新しい提案が出て驚きました。,3
言い訳ばかりで誠実さを感じません！,1
思っていたより成果が出なくて残念です。,2
長年の同僚が退職すると聞いて寂しい気持ちです！,2
予想外の反応に驚きを隠せませんでした。,3
大切な機会を逃してしまい後悔しています。,2
指示を無視されるとやる気が失せます。,1
計画していた通りに進んでいて安心しています！,0
チームが解散してしまって悲しいです。,2
長年の同僚が退職すると聞いて寂しい気持ちです。,2
まさか彼が優勝するとは思いませんでした。,3
彼との連絡が途絶えてしまい寂しいです。,2
市場の変化が予想以上で驚いています。,3
天気が悪くてなんだか気分が沈みます。,2
予想外の反応に驚きを隠せませんでした。,3
いつも静かな彼が急に意見を出してきて驚きました。,3
会議中に話を遮られて不快でした。,1
指示を無視されるとやる気が失せます。,1
何度も同じミスをされると本当に腹が立ちます。,1
サポートの対応が雑すぎて信頼できません。,1
何度も同じミスをされると本当に腹が立ちます。,1
会議中に新しい提案が出て驚きました。,3
約束の時間を守らないのは困ります。,1
支えてくれた人がいなくなって心細いです！,2
上司が急に出張を取りやめて驚きました。,3
想定外の結果に一瞬言葉を失いました。,3
計画していた通りに進んでいて安心しています。,0
いつも静かな彼が急に意見を出してきて驚きました。,3
上司が急に出張を取りやめて驚きました。,3
顧客から思いがけない感謝の言葉をいただきました！,3
対応が遅すぎてイライラしました！,1
上司が急に出張を取りやめて驚きました。,3
目標に届かず、努力が報われなかった気がします。,2
指示を無視されるとやる気が失せます。,1
市場の変化が予想以上で驚いています。,3
プロジェクトが予定より早く完成して驚きました。,3
久しぶりに友人と再会できて楽しい時間を過ごしました。,0
いつも静かな彼が急に意見を出してきて驚きました。,3
天気が悪くてなんだか気分が沈みます。,2
自分の意見を軽視されたようで怒りを覚えました。,1
チームが解散してしまって悲しいです。,2
長い会議がスムーズに終わってほっとしました。,0
久しぶりに友人と再会できて楽しい時間を過ごしました。,0
支えてくれた人がいなくなって心細いです！,2
チームが解散してしまって悲しいです。,2
対応が遅すぎてイライラしました。,1
チームが解散してしまって悲しいです！,2
支えてくれた人がいなくなって心細いです。,2
計画していた通りに進んでいて安心しています。,0
まさか彼が優勝するとは思いませんでした。,3
指示を無視されるとやる気が失せます。,1
上司が急に出張を取りやめて驚きました。,3
長い会議がスムーズに終わってほっとしました。,0
家族と穏やかな時間を過ごせて幸せです。,0
